,,,,,,,,TOA5,5466,CR350,5466.1,CR350-CELL220.Std.01.05,CPU:SchoolA_1_Roof_script.CRB,52389,SchoolA_1_Roof
TIMESTAMP,RECORD,BP_mbar_Avg,RH_Avg,AirT_C_Avg,DP_C_Avg,WS_ms_Avg,WindDir_Avg,RainITX_mm,MetSENS_Status,BlackGlobe_C_Avg,TdC_Avg,TwC_Avg,WBGT_C_Avg,logger_BattV_Avg,logger_Temp_C_Avg
TS,RN,mbar,%RH,Deg C,Deg C,meters/second,degrees,,,Deg C,Deg C,Deg C,,Volts,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg
2024-04-06 01:17:00,408,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:18:00,409,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:19:00,410,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:20:00,411,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:21:00,412,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:22:00,413,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:23:00,414,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:24:00,415,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.04
2024-04-06 01:25:00,416,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:26:00,417,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:27:00,418,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:28:00,419,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.05
2024-04-06 01:29:00,420,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.06
2024-04-06 01:30:00,421,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.07
2024-04-06 01:31:00,422,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.06
2024-04-06 01:32:00,423,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.07
2024-04-06 01:33:00,424,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.07
2024-04-06 01:34:00,425,NAN,NAN,NAN,NAN,NAN,NAN,NAN,Unknown Fault,NAN,NAN,NAN,NAN,12.36,31.07
